yb_name,ys_name,sail,match
Abilyn,Abilyn,USA25559,name
ACTAEA,ACTAEA,USA3815,name
ARGOS,ARGOS,1543,name
Athena,Athena,36,name
Avalanche,Avalanche,GBR20,name
Avatar,Avatar,USA61971,name
Beagle,Beagle,USA44007,name
BETELGEUSE YCC,BETELGEUSE YCC,43392,name
Cool Change,Cool Change,121,name
Crocodile,Crocodile,USA61150,name
Della Aurora,Della Aurora,USA27,name
Dolcezza,Dolcezza,53,name
DUET,DUET,USA51445,name
Elizabeth,Elizabeth,46294,name
Exuberance,Exuberance,51506,name
First Rate,First Rate,40819,name
Golden-Eye,Golden-Eye,USA1937,name
Gup E,Gup E,USA61759,name
Habiru,Habiru,USA61124,name
Halve Maen,Halve Maen,USA075,name
Imagine,Imagine,USA108,name
Java,Java,279,name
Katara56,Katara56,CAY61887,name
Lioness,Lioness,USA38007,name
Little Texas YCC,Little Texas,USA169,sail-only
MARA,MARA,P39,name
MARIE,MARIE,42832,name
Max,Max,USA75050,name
Mayhem,Mayhem,18,name
Midnight Rider - PMP Strategy,Midnight Rider - PMP Strategy,511,name
Nomad,Nomad,USA52968,name
Ohana,Ohana,435,name
Palomino,Palomino,USA61107,name
Peggy-O,Peggy-O,43895,name
Phantom,Phantom,USA444,name
Poseidon,Poseidon,USA52059,name
Random,Random,USA51362,name
Ripple,Ripple,USA32685,name
SCAPEGOAT,SCAPEGOAT,USAUSA 619,name
Scarlett,Scarlett,USA332,name
Shooting Star,Shooting Star,USA20802,name
Surface Tension,Surface Tension,52556,name
The Rover,The Rover,USA93310,name
Thin Man,Thin Man,USA24,name
Three Little Birds,Three Little Birds,USA52985,name
Tynaje,Tynaje,USA2222,name
Valiant YCC,Valiant YCC,408,name
Velocita,Velocita,USA319,name
Veronique,Veronique,60141,name
Vicitan,VICITAN,USA19,name
WANDERER,WANDERER,181,name
Windancer,Windancer,USA25,name
YES 4X,YES 4X,393,name
Yopo,Yopo,103,name
Zammermoos,Zammermoos,Uni4224,name
STARTING LINE (+ FINISH),,,UNMATCHED-YB
,Free Range,USA0,UNMATCHED-YS
,Hunter,USA 2388,UNMATCHED-YS
,Kitli,297,UNMATCHED-YS
,Habiru YCC,USA61124,UNMATCHED-YS
