	35	40	45	50	55	60	65	70	75	80	85	90	95	100	105	110	115	120	125	130	135	140	145	150	155	160
35	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1
32	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	A4	A4
30	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	A4	A4	A4	A4	A4
28	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	A4	A4	A4	A4	A4	A4
26	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	A4	A4	A4	A4	A4	A4	A4
24	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	G1	G1	G1	G1	G1	G1	A4	A4	A4	A4	A4	A4	A4
22	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	J1	G1	G1	G1	G1	G1	G1	C0	C0	C0	A4	A4	A4	A4	A4	A2
20	J1	J1	J1	J1	J1	J1	J1	J1	J1	G1	G1	G1	G1	G1	G1	G1	C0	C0	C0	C0	A4	A4	A4	A2	A2	A2
18	J1	J1	J1	J1	J1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	C0	C0	C0	C0	A2	A2	A2	A2	A2	A2
16	J1	J1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	C0	C0	C0	C0	C0	A2	A2	A2	A2	A2	A2
14	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	C0	C0	C0	C0	C0	C0	A2	A2	A2	A2	A2	A2
12	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	C0	C0	C0	C0	C0	A2	A2	A2	A2	A2	A2	A2
10	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	C0	C0	C0	C0	C0	A2	A2	A2	A2	A2	A2	A2
8	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	C0	C0	C0	C0	C0	A2	A2	A2	A2	A2	A2	A2
6	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	C0	C0	C0	C0	C0	A2	A2	A2	A2	A2	A2	A2
4	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	G1	C0	C0	C0	C0	A2	A2	A2	A2	A2	A2	A2	A2
2	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS	WS
