UTC,BSP,AWA,AWS,TWA,TWS,TWD,RudderFwd,Leeway,Set,Drift,HDG,AirTemp,SeaTemp,Baro,Depth,Heel,Trim,Rudder,Tab,Forestay,Downhaul,MastAng,FStayLen,MastButt,Load S,Load P,Rake,Volts,ROT,GpQual,PDOP,GpsNum,GpsAge,Altitude,GeoSep,GpsMode,Lat,Lon,COG,SOG,DiffStn,Error,RunnerS,RunnerP,Vang,Trav,Main,KeelAng,KeelHt,Board,EngOilPres,RPM 1,RPM 2,Board P,Board S,DistToLn,RchTmToLn,RchDtToLn,GPS time,TWD+90,TWD-90,Downhaul2,Mk Lat,Mk Lon,Port lat,Port lon,Stbd lat,Stbd lon,HPE,RH,Lead P,Lead S,BackStay,User 0,User 1,User 2,User 3,User 4,User 5,User 6,User 7,User 8,User 9,User 10,User 11,User 12,User 13,User 14,User 15,User 16,User 17,User 18,User 19,User 20,User 21,User 22,User 23,User 24,User 25,User 26,User 27,User 28,User 29,User 30,User 31,TmToGun,TmToLn,Burn,BelowLn,GunBlwLn,WvSigHt,WvSigPd,WvMaxHt,WvMaxPd,GPS tOffset,Heave,MWA,MWS,Boom,Twist,TWDTwisted,TackLossT,TackLossD,TrimRate,HeelRate,DeflectorP,RudderP,RudderS,RudderToe,BspTr,FStayInner,DeflectorS,Bobstay,Outhaul,D0 P,D0 S,D1 P,D1 S,V0 P,V0 S,V1 P,V1 S,BoomAng,Cunningham,FStayInHal,JibFurl,JibH,MastCant,J1,J2,J3,J4,Foil P,Foil S,Reacher,Blade,Staysail,Solent,Tack,TackP,TackS,DeflectU,DeflectL,WinchP,WinchS,SpinP,SpinS,MainH,Mast2,DepthAft,Burn%,GunBspTarg%,GunBspPol%,EngTemp,EngOilTemp,TranOilTemp,TranOilPres,FuelLev,Amps,Charge%,TWG,TWDG,DewPt,FStay+Tack,Gradient,TWSGradient,Rud Ptch P,Rud Ptch S,WaterLev,WaterLev2,FuelLev2,CANLoad%,FastPkErr
46228.166662,3.6,-87.5,4.67,-126,5.83,129,,,,,228.6,,20.8,,39.2,-3.2,0,-7,,,,,,,,,,,180,,,,,,,,41.120167,-72.497117,251.2,1.8,,,,,,,,,,,,,,,,,,,46228.166632,219,39,,41.168017,-72.218917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.962,,,,,,0.000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,,,,,,,
46228.166672,3.6,-87.5,4.86,-126,5.83,129,,,,,255,,20.8,,39.2,-3.2,0,-7,,,,,,,,,,,179,,,,,,,,41.120167,-72.497117,252.2,1.8,,,,,,,,,,,,,,,,,,,46228.166644,219,39,,41.168017,-72.218917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.962,,,,,,0.000025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,,,,,,,
46228.166684,3.5,-87.5,4.86,-125,5.83,130,,,,,255,,20.8,,39.1,-3,0,-7.3,,,,,,,,,,,179,,,,,,,,41.120167,-72.497133,251.2,1.8,,,,,,,,,,,,,,,,,,,46228.166655,220,40,,41.168017,-72.218917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.961,,,,,,0.000024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,,,,,,,
46228.166697,3.6,-87.5,4.86,-125,5.83,130,,,,,255,,20.8,,39.1,-2.7,0,-7,,,,,,,,,,,180,,,,,,,,41.12015,-72.497133,250.2,1.8,,,,,,,,,,,,,,,,,,,46228.166667,220,40,,41.168017,-72.218917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.962,,,,,,0.000026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,,,,,,,
46228.166708,3.6,-87.5,4.86,-125,5.83,129,,,,,254,,20.8,,39.1,-2.8,0,-7,,,,,,,,,,,180,,,,,,,,41.12015,-72.49715,252.2,1.9,,,,,,,,,,,,,,,,,,,46228.16669,219,39,,41.168017,-72.218917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.961,,,,,,0.000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,,,,,,,
46228.166720,3.7,-86.5,5.05,-124,6.03,103.6,,,,,227.6,,20.8,,39.1,-3.1,0,-7,,,,,,,,,,,179,,,,,,,,41.12015,-72.49715,251.2,1.9,,,,,,,,,,,,,,,,,,,46228.166701,220,40,,41.168017,-72.218917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.965,,,,,,0.000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,,,,,,,
46228.166732,3.7,-86.5,5.05,-124,6.03,130,,,,,254,,20.8,,39.1,-2.9,0,-6.7,,,,,,,,,,,180,,,,,,,,41.120133,-72.497167,250.2,1.9,,,,,,,,,,,,,,,,,,,46228.166713,220,40,,41.168017,-72.218917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.961,,,,,,0.000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,,,,,,,
46228.166744,3.7,-86.5,5.05,-124,6.03,103.6,,,,,227.6,,20.8,,39.1,-3,0,-6.7,,,,,,,,,,,179,,,,,,,,41.120133,-72.497183,249.2,2,,,,,,,,,,,,,,,,,,,46228.166725,220,40,,41.168017,-72.218917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.964,,,,,,0.000019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,,,,,,,
46228.166755,3.8,-86.5,5.05,-124,6.03,103.6,,,,,227.6,,20.8,,39.3,-2.9,0,-6.7,,,,,,,,,,,179,,,,,,,,41.120133,-72.497183,250.2,2,,,,,,,,,,,,,,,,,,,46228.166736,220,40,,41.168017,-72.218917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.964,,,,,,0.000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.03,,,,,,,
46228.166767,3.8,-86.5,5.05,-123,5.83,131,,,,,254,,20.9,,39.3,-3.1,0,-7,,,,,,,,,,,180,,,,,,,,41.120117,-72.4972,249.2,2,,,,,,,,,,,,,,,,,,,46228.166748,221,41,,41.168017,-72.218917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.961,,,,,,0.000018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.83,,,,,,,
