rank,name,sail,rating,type,elapsed,corrected,finish_local,division,class_rank,status,retire_reason
1,Nicole,USA2021,0.5004,Cal 40,4d 03:01:51,2d 01:33:18,2026-06-23 17:31:51,SDL 1,1,FIN,
2,Selkie,USA40808,0.5054,McCurdy&Rhodes 38,4d 02:37:57,2d 01:50:56,2026-06-23 17:07:57,SDL 1,2,FIN,
3,Towhee,USA1781,0.5001,Cal 40,4d 04:24:52,2d 02:13:02,2026-06-23 18:54:52,SDL 1,3,FIN,
4,Inverness,USA990,0.5025,Custom S&S,4d 04:48:14,2d 02:39:14,2026-06-23 19:18:14,SDL 1,4,FIN,
5,Tacktile,USA56,0.5234,Sabre 42 CB,4d 03:17:57,2d 03:58:23,2026-06-23 17:47:57,SDL 1,5,FIN,
6,Dorade,16,0.5455,S&S Masthead Yawl,4d 00:08:54,2d 04:26:56,2026-06-23 14:38:54,SDL 2,1,FIN,
7,Carina,USA315,0.5653,McCurdy & Rhodes 48,3d 20:49:36,2d 04:28:30,2026-06-23 11:19:36,SDL 2,2,FIN,
8,Imagine,USA108,0.5409,X382,4d 02:07:38,2d 05:04:37,2026-06-23 16:37:38,SDL 1,6,FIN,
9,Madeleine,USA414,0.5476,McCurdy Rhodes 46,4d 01:36:12,2d 05:26:51,2026-06-23 16:06:12,SDL 1,7,FIN,
10,Invincible,NA26,0.5541,Navy 44,4d 00:43:27,2d 05:35:41,2026-06-23 15:13:27,SDL 2,3,FIN,
11,Stormy Weather,52526,0.5556,Swan 441,4d 00:58:26,2d 05:52:43,2026-06-23 15:28:26,SDL 2,4,FIN,
12,Allegiant,USA93556,0.5596,J/42,4d 00:35:33,2d 06:03:11,2026-06-23 15:05:33,SDL 1,8,FIN,
13,Gesture,102,0.5719,S&S Sloop,3d 23:37:44,2d 06:41:25,2026-06-23 13:57:44,SDL 3,1,FIN,
14,Blue Skies,44022,0.5757,Skye 51 Ketch,3d 23:43:18,2d 07:06:25,2026-06-23 14:03:18,SDL 3,2,FIN,
15,Flying Lady,USA50197,0.5673,Swan 46,4d 01:32:55,2d 07:20:22,2026-06-23 15:52:55,SDL 3,3,FIN,
16,Sassafras,CAN3100,0.5551,Swan 47 Mark 2,4d 03:46:56,2d 07:23:21,2026-06-23 17:46:56,SDL 2,5,FIN,
17,Speck,59916,0.5948,J/120,3d 22:23:33,2d 08:08:41,2026-06-23 12:23:33,SDL 4,1,FIN,
18,Cybele,52045,0.6132,IMX 45,3d 19:33:54,2d 08:08:52,2026-06-23 09:23:54,SDL 5,1,FIN,
19,Hound,USA2650,0.6120,Nielsen 59,3d 19:46:23,2d 08:09:54,2026-06-23 09:26:23,SDL 6,1,FIN,
20,Xcellent,USA51442,0.5942,XYachts X442,3d 22:39:36,2d 08:14:49,2026-06-23 12:29:36,SDL 5,2,FIN,
21,Dragon Fire,USA145,0.5755,J99,4d 01:51:10,2d 08:18:51,2026-06-23 16:21:10,SDL 2,6,FIN,
22,Orion,USA12282,0.6017,J/122,3d 21:40:59,2d 08:22:09,2026-06-23 11:40:59,SDL 4,2,FIN,
23,Christopher Dragon,ITA2277,0.5942,Italia Yachts 11.9,3d 22:59:32,2d 08:26:40,2026-06-23 13:19:32,SDL 3,4,FIN,
24,Phoenix F40,USA93063,0.5751,Beneteau First 40.7,4d 02:10:24,2d 08:27:34,2026-06-23 16:40:24,SDL 2,7,FIN,
25,Reindeer,USA666,0.6135,Morris 47,3d 20:03:53,2d 08:28:54,2026-06-23 09:43:53,SDL 6,2,FIN,
26,In Theory,USA61183,0.6045,JPK 1080,3d 21:35:54,2d 08:34:49,2026-06-23 11:55:54,SDL 3,5,FIN,
27,Moon Dog,USA52129,0.5830,C&C 115,4d 01:42:36,2d 08:57:54,2026-06-23 16:12:36,SDL 2,8,FIN,
28,Cercavento,11980,0.5902,Italia 11.98,4d 00:32:49,2d 08:58:55,2026-06-23 14:52:49,SDL 3,6,FIN,
29,Bella J,CAN54554,0.6115,J/133,3d 21:11:58,2d 08:59:29,2026-06-23 11:01:58,SDL 5,3,FIN,
30,Divide By Zero,USA42707,0.5903,Frers 45,4d 00:34:53,2d 09:00:43,2026-06-23 14:54:53,SDL 3,7,FIN,
31,Zig Zag,USA12912,0.6102,J/122,3d 21:29:57,2d 09:03:11,2026-06-23 11:29:57,SDL 4,3,FIN,
32,Moxiee,USA60085,0.5960,J/122,3d 23:50:12,2d 09:07:07,2026-06-23 13:50:12,SDL 4,4,FIN,
33,Alibi,USA43968,0.5961,J/120,3d 23:51:42,2d 09:08:35,2026-06-23 13:51:42,SDL 4,5,FIN,
34,Blitzkrieg,52901,0.6054,J/122,3d 22:28:00,2d 09:11:24,2026-06-23 12:28:00,SDL 4,6,FIN,
35,Vamoose,USA52443,0.6142,J/133,3d 21:26:30,2d 09:23:31,2026-06-23 11:16:30,SDL 5,4,FIN,
36,Charlotte,USA46650,0.6028,J/120,3d 23:20:16,2d 09:28:11,2026-06-23 13:20:16,SDL 4,7,FIN,
37,Rocket Science,USA51512,0.5977,J/120,4d 00:19:36,2d 09:34:28,2026-06-23 14:19:36,SDL 4,8,FIN,
38,Surface Tension,52556,0.6032,Beneteau First 44.7,3d 23:27:41,2d 09:34:56,2026-06-23 13:17:41,SDL 5,5,FIN,
39,Summer Grace,US12235,0.6035,J/122,3d 23:29:23,2d 09:37:41,2026-06-23 13:29:23,SDL 4,9,FIN,
40,Digger,USA49,0.6054,J/44,3d 23:16:11,2d 09:40:35,2026-06-23 13:06:11,SDL 5,6,FIN,
41,Palantir 5,USA25244,0.6049,J/44,3d 23:29:38,2d 09:45:51,2026-06-23 13:19:38,SDL 5,7,FIN,
42,Rumble,USA61782,0.5928,JPK 10.30,4d 01:32:33,2d 09:49:23,2026-06-23 16:02:33,SDL 2,9,FIN,
43,Escapado,GBR1321L,0.5684,First 40.7,4d 05:48:21,2d 09:51:59,2026-06-23 20:18:21,SDL 2,10,FIN,
44,Hissy Fit  II,77,0.5976,J/120,4d 01:00:43,2d 09:58:28,2026-06-23 15:00:43,SDL 4,10,FIN,
45,Phoenix J120,USA25329,0.6013,J/120,4d 00:25:21,2d 09:58:44,2026-06-23 14:25:21,SDL 4,11,FIN,
46,Ragana,52238,0.5945,Cape Fear 38,4d 01:34:52,2d 10:00:43,2026-06-23 15:54:52,SDL 3,8,FIN,
47,Banter,USA61682,0.6059,Archambault 40RC,3d 23:55:15,2d 10:07:06,2026-06-23 13:45:15,SDL 5,8,FIN,
48,Zelee,GBR1030X,0.5899,JPK 10.30,4d 02:37:26,2d 10:10:42,2026-06-23 17:07:26,SDL 2,11,FIN,
49,Dire Wolf,USA12204,0.6001,J/122,4d 01:05:45,2d 10:16:02,2026-06-23 15:05:45,SDL 4,12,FIN,
50,Blitzen,USA46,0.6081,J/130 SD,4d 00:00:24,2d 10:22:54,2026-06-23 13:50:24,SDL 5,9,FIN,
51,Jules,USA52300,0.6159,Baltic 52,3d 23:00:33,2d 10:30:58,2026-06-23 12:30:33,SDL 7,1,FIN,
52,Phantom,USA60711,0.6167,Xp 44,3d 22:54:55,2d 10:32:03,2026-06-23 12:34:55,SDL 6,3,FIN,
53,Legacy,USA60483,0.5955,Beneteau First 40,4d 02:21:41,2d 10:34:27,2026-06-23 16:41:41,SDL 3,9,FIN,
54,Lynx,US62157,0.6135,IMX 45,3d 23:32:23,2d 10:36:49,2026-06-23 13:12:23,SDL 6,4,FIN,
55,Windborn,USA51120,0.6014,J/120,4d 01:39:39,2d 10:44:00,2026-06-23 15:39:39,SDL 4,13,FIN,
56,Firefly,USA50022,0.6132,Morris 45,4d 00:05:13,2d 10:55:14,2026-06-23 13:45:13,SDL 6,5,FIN,
57,Monhegan,USA35777,0.5976,J44,4d 02:46:00,2d 11:01:23,2026-06-23 16:36:00,SDL 5,10,FIN,
58,Lykke,ARG5001,0.5952,X 4.3,4d 03:10:30,2d 11:01:44,2026-06-23 17:00:30,SDL 5,11,FIN,
59,Lupo Di Mare,USA12985,0.6085,Italia 12.98,4d 01:03:50,2d 11:03:48,2026-06-23 14:53:50,SDL 5,12,FIN,
60,Quickdraw,USA104,0.6112,J/111,4d 01:00:05,2d 11:17:14,2026-06-23 15:20:05,SDL 3,10,FIN,
61,Arcadia,USA61520,0.6127,Lm46,4d 00:49:37,2d 11:19:33,2026-06-23 14:29:37,SDL 6,6,FIN,
62,Sonrisa,USA1416,0.6164,Xp 44,4d 00:22:20,2d 11:24:14,2026-06-23 14:02:20,SDL 6,7,FIN,
63,Northstar,USA2681,0.6169,Solaris 47,4d 00:17:42,2d 11:24:16,2026-06-23 13:47:42,SDL 7,2,FIN,
64,Chariad,50513,0.6101,J-130,4d 02:14:18,2d 11:56:07,2026-06-23 15:54:18,SDL 6,8,FIN,
65,Rocksteady,USA60492,0.6303,XP44,3d 23:41:08,2d 12:18:38,2026-06-23 13:21:08,SDL 6,9,FIN,
